System,Version,SLOC,Files,Exprs,Stmts,Variable Variables,Variable Function Calls,Variable Method Calls,Variable News,Variable Properties,Variable Class Constants,Variable Static Calls,Variable Static Targets,Variable Static Properties,Variable Static Property Targets,All Variable Features,Magic Sets,Magic Gets,Magic isSets,Magic Unsets,Magic Calls,Magic Static Calls,All Magic Methods,Total Includes,Dynamic Includes,Eval,Create Function Uses,All Eval Features,CallUserFunc,CallUserFuncArray,CallUserMethod,CallUserMethodArray,All Dynamic Invocations
MediaWiki,1.19.5,822925,1419,1649671,98868,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,69,79,0,0,148
MediaWiki,1.19.6,825789,1419,1654996,98884,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,69,79,0,0,148
MediaWiki,1.19.7,825842,1419,1655123,98925,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,69,79,0,0,148
MediaWiki,1.19.8,825899,1419,1655239,98958,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,69,79,0,0,148
MediaWiki,1.19.9,833540,1419,1667302,98982,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,69,79,0,0,148
MediaWiki,1.19.10,834237,1419,1668455,99002,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,70,79,0,0,149
MediaWiki,1.19.11,834243,1419,1668458,99003,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,70,80,0,0,150
MediaWiki,1.19.12,834319,1419,1668596,99026,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,70,80,0,0,150
MediaWiki,1.19.13,834329,1419,1668644,99034,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,70,80,0,0,150
MediaWiki,1.19.14,834344,1419,1668681,99043,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,70,80,0,0,150
MediaWiki,1.19.15,834345,1419,1668689,99044,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,70,80,0,0,150
MediaWiki,1.19.16,834345,1419,1668691,99044,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,70,80,0,0,150
MediaWiki,1.19.17,834361,1419,1668734,99050,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,70,80,0,0,150
MediaWiki,1.19.18,834372,1419,1668763,99055,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,70,80,0,0,150
MediaWiki,1.19.19,834451,1419,1668921,99086,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,70,80,0,0,150
MediaWiki,1.19.20,834445,1419,1668906,99087,7,3,12,88,91,0,2,0,0,0,203,2,3,0,0,14,0,19,537,480,4,1,5,70,80,0,0,150
MediaWiki,1.20.0,848571,1487,1715141,106061,7,4,21,95,94,0,2,0,0,0,223,2,3,0,0,14,0,19,527,472,4,1,5,0,0,0,0,0
MediaWiki,1.20.1,849474,1487,1716591,106049,7,4,21,95,94,0,2,0,0,0,223,2,3,0,0,14,0,19,527,472,4,1,5,0,0,0,0,0
MediaWiki,1.20.2,849512,1487,1716713,106069,7,4,21,95,94,0,2,0,0,0,223,2,3,0,0,14,0,19,527,472,4,1,5,0,0,0,0,0
MediaWiki,1.20.3,857513,1487,1726910,106090,7,4,21,95,94,0,2,0,0,0,223,2,3,0,0,14,0,19,527,472,4,1,5,72,89,0,0,161
MediaWiki,1.20.4,857520,1487,1726936,106097,7,4,21,95,94,0,2,0,0,0,223,2,3,0,0,14,0,19,527,472,4,1,5,72,89,0,0,161
MediaWiki,1.20.5,860883,1487,1733139,106122,7,4,21,95,94,0,2,0,0,0,223,2,3,0,0,14,0,19,527,472,4,1,5,72,89,0,0,161
